timestamp,sentiment,ai_confidence,headline
2026-01-05,-1,0.86,Historical News for 2026-01-05 (Backfilled)
2026-01-06,-1,0.82,Historical News for 2026-01-06 (Backfilled)
2026-01-07,-1,0.81,Historical News for 2026-01-07 (Backfilled)
2026-01-08,-1,0.8,Historical News for 2026-01-08 (Backfilled)
2026-01-09,-1,0.92,Historical News for 2026-01-09 (Backfilled)
2026-01-12,-1,0.85,Historical News for 2026-01-12 (Backfilled)
2026-01-13,1,0.76,Historical News for 2026-01-13 (Backfilled)
2026-01-14,1,0.85,Historical News for 2026-01-14 (Backfilled)
2026-01-15,-1,0.91,Historical News for 2026-01-15 (Backfilled)
2026-01-16,-1,0.81,Historical News for 2026-01-16 (Backfilled)
2026-01-19,-1,0.77,Historical News for 2026-01-19 (Backfilled)
2026-01-20,-1,0.95,Historical News for 2026-01-20 (Backfilled)
2026-01-21,-1,0.8,Historical News for 2026-01-21 (Backfilled)
2026-01-22,1,0.85,Historical News for 2026-01-22 (Backfilled)
2026-01-23,-1,0.88,Historical News for 2026-01-23 (Backfilled)
2026-01-26,-1,0.87,Historical News for 2026-01-26 (Backfilled)
2026-01-27,1,0.8,Historical News for 2026-01-27 (Backfilled)
2026-01-28,-1,0.84,Historical News for 2026-01-28 (Backfilled)
2026-01-29,1,0.77,Historical News for 2026-01-29 (Backfilled)
2026-01-30,-1,0.84,Historical News for 2026-01-30 (Backfilled)
2026-02-01,1,0.93,'The haves and the have nots': Wall Street sees divide in tech stock performance after earnings reports
2026-02-02,1,0.97,Is It Time to Take a Bite Out of Apple's Stock as Revenue Growth Accelerates?
